job_id,job_title,company,job_description
1,"Senior Python Developer","Kifiya Financial Technology","Kifiya is seeking an experienced Python Developer to join our fintech team in Addis Ababa. Must have 4+ years experience with Python, Django, Flask, RESTful APIs. Strong database skills with PostgreSQL and MongoDB required. Experience with cloud platforms like AWS or Azure is a plus. Knowledge of payment systems and financial APIs preferred. Will work on mobile banking and digital payment solutions. Strong problem-solving skills and ability to work in agile teams. Salary: 80,000-120,000 ETB/month."
2,"Machine Learning Engineer","Ethio Telecom","Ethio Telecom is looking for ML Engineer to work on predictive analytics, customer behavior analysis, and network optimization. Requirements: 3+ years experience with Python, TensorFlow, PyTorch, scikit-learn. Strong understanding of supervised and unsupervised learning. Experience with big data tools (Spark, Hadoop) preferred. Will develop churn prediction models and recommendation systems. MSc in Computer Science or related field preferred. Competitive salary and benefits."
3,"Full Stack Developer","Addis Software","Fast-growing Ethiopian software company needs Full Stack Developer. Must have experience with React, Node.js, Express, MongoDB. Should be able to design and implement complete web applications. Experience with payment integration (Chapa, Telebirr, PayPal) is a plus. Docker and DevOps knowledge preferred. Portfolio of previous projects required. Will work on e-commerce and SaaS platforms. 60,000-90,000 ETB/month."
4,"Digital Marketing Manager","Ethiopian Airlines","Ethiopian Airlines seeks Digital Marketing Manager to lead online marketing campaigns. Requirements: 5+ years experience in digital marketing, SEO, SEM, social media marketing. Expert in Google Ads, Facebook Ads, LinkedIn Ads. Strong analytics skills with Google Analytics and marketing automation tools. Experience in aviation or tourism industry preferred. Will manage 5M+ ETB annual marketing budget. Excellent communication skills in English required."
5,"Network Administrator","Dashen Bank","Dashen Bank is hiring Network Administrator for IT infrastructure management. Requirements: CCNA certification, 5+ years experience with Cisco networking equipment, firewalls, VPNs, and network security. Experience in banking or financial sector strongly preferred. Must ensure 99.9% network uptime. Knowledge of Huawei equipment is a plus. Strong troubleshooting and documentation skills required. Competitive banking sector salary."
6,"Senior Graphic Designer","Zemen Design Studio","Creative agency seeking Senior Graphic Designer with 5+ years experience. Expert level skills in Adobe Creative Suite (Photoshop, Illustrator, InDesign). Strong portfolio showing brand identity, packaging, and print design. Experience with Ethiopian cultural design elements preferred. UI/UX design skills are a plus. Will work with major Ethiopian brands. Must be able to manage junior designers. 40,000-70,000 ETB/month."
7,"Mechanical Engineer - Manufacturing","Reppie Waste-to-Energy Plant","Reppie needs Mechanical Engineer for plant maintenance and optimization. Requirements: BSc in Mechanical Engineering, 5+ years in manufacturing or energy sector. Experience with AutoCAD, SolidWorks, and industrial machinery. Strong understanding of quality control and safety regulations. Experience with waste-to-energy or renewable energy projects preferred. Problem-solving skills essential. Competitive salary with energy sector benefits."
8,"HR Manager","Wegagen Bank","Wegagen Bank seeks experienced HR Manager to oversee recruitment, employee relations, and HR operations. Requirements: 8+ years HR experience, preferably in banking sector. Expert knowledge of Ethiopian labor law. Experience with HRIS systems and payroll management. Strong leadership and conflict resolution skills. Will manage HR team and 500+ employees. Certified HR Professional (CHRP) preferred. Excellent salary and banking benefits."
9,"Mobile App Developer (Flutter)","Ride Ethiopia","Leading ride-hailing company needs Mobile App Developer. Must have 3+ years experience with Flutter or React Native. Strong knowledge of iOS and Android platforms. Experience with Firebase, real-time databases, Google Maps integration. Payment gateway integration experience required. Will work on app used by 100K+ users. Startup environment with equity options. 70,000-110,000 ETB/month."
10,"Content Writer & SEO Specialist","iCog Labs","Ethiopian AI company seeks Content Writer with technical writing skills. Must write clear documentation, blog posts, and marketing content about AI/ML. SEO expertise required. Excellent English writing skills mandatory. Amharic writing ability is a plus. Experience with WordPress and content management. Knowledge of technology sector preferred. Will write for international and local audiences. 35,000-55,000 ETB/month."
